2022-04-24 02:42:39,894 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (0.914, 0.914, -130.000)
2022-04-24 02:42:39,928 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (-0.068, -0.061, 4670.360)
2022-04-24 02:42:39,951 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2022-04-24 02:42:43,529 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2022-04-24 02:42:43,540 | MainThread   | [INFO    ] | print_prediction_stats|: GT index         : (7, 5, 3)
2022-04-24 02:42:43,548 | MainThread   | [INFO    ] | print_prediction_stats|: Prior Bel index  : (8, 5, 8) with prob = 0.1215863
2022-04-24 02:42:43,564 | MainThread   | [INFO    ] | print_prediction_stats|: POS ERROR        : (-0.563, 0.128, 4587.802)
2022-04-24 02:42:43,609 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2022-04-24 02:42:47,177 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2022-04-24 02:42:47,205 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (7, 5, 3)
2022-04-24 02:42:47,244 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (5, 5, 4) with prob = 1.0
2022-04-24 02:42:47,281 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 4.666556226529536e-09
2022-04-24 02:42:47,291 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (0.351, 0.433, 4937.802)
2022-04-24 02:42:47,310 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (0.000, 0.305, -90.000)
2022-04-24 02:42:47,313 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (0.351, 0.128, 5027.802)
2022-04-24 02:42:47,392 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2022-04-24 02:42:50,596 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2022-04-24 02:42:50,603 | MainThread   | [INFO    ] | print_prediction_stats|: GT index         : (5, 5, 0)
2022-04-24 02:42:50,658 | MainThread   | [INFO    ] | print_prediction_stats|: Prior Bel index  : (4, 7, 9) with prob = 0.1030266
2022-04-24 02:42:50,659 | MainThread   | [INFO    ] | print_prediction_stats|: POS ERROR        : (0.259, -0.529, 4856.767)
2022-04-24 02:42:50,710 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2022-04-24 02:42:54,056 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2022-04-24 02:42:54,077 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (5, 5, 0)
2022-04-24 02:42:54,080 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (5, 5, 0) with prob = 0.9999694
2022-04-24 02:42:54,117 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 2.405210736026638e-11
2022-04-24 02:42:54,139 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (-0.046, 0.386, 5226.767)
2022-04-24 02:42:54,170 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (0.000, 0.305, -170.000)
2022-04-24 02:42:54,172 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (-0.046, 0.081, 5396.767)
2022-04-24 02:42:54,207 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2022-04-24 02:42:58,913 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2022-04-24 02:42:58,926 | MainThread   | [INFO    ] | print_prediction_stats|: GT index         : (4, 5, 17)
2022-04-24 02:42:58,930 | MainThread   | [INFO    ] | print_prediction_stats|: Prior Bel index  : (6, 6, 4) with prob = 0.1168103
2022-04-24 02:42:58,934 | MainThread   | [INFO    ] | print_prediction_stats|: POS ERROR        : (-0.720, -0.069, 5292.985)
2022-04-24 02:42:58,941 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2022-04-24 02:43:02,319 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2022-04-24 02:43:02,338 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (4, 5, 17)
2022-04-24 02:43:02,360 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (3, 5, 17) with prob = 0.9999999
2022-04-24 02:43:02,389 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 1.377216876459428e-15
2022-04-24 02:43:02,396 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (-0.415, 0.541, 5562.985)
2022-04-24 02:43:02,399 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (-0.610, 0.305, 170.000)
2022-04-24 02:43:02,403 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (0.195, 0.236, 5392.985)
