2022-03-25 20:18:34,104 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:B0:6C:9A:3C
2022-03-25 20:19:48,775 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 607452C2-8441-D076-814E-841EB3635426
2022-03-25 20:20:04,030 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-25 20:20:06,764 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:B0:6C:9A:3C
2022-03-25 20:20:49,739 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 607452C2-8441-D076-814E-841EB3635426
2022-03-25 20:21:57,404 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-25 20:22:00,238 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:B0:6C:9A:3C
2022-03-25 20:22:51,779 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 607452C2-8441-D076-814E-841EB3635426
2022-03-25 20:23:13,505 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-25 20:23:16,282 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:B0:6C:9A:3C
2022-03-25 20:25:03,368 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 607452C2-8441-D076-814E-841EB3635426
2022-03-25 20:32:22,634 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-25 20:32:25,424 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:B0:6C:9A:3C
2022-03-25 20:32:45,481 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 607452C2-8441-D076-814E-841EB3635426
2022-03-25 20:32:57,779 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-25 20:33:00,551 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:B0:6C:9A:3C
2022-03-25 20:33:11,743 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 607452C2-8441-D076-814E-841EB3635426
2022-03-25 20:33:28,892 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-25 20:33:31,688 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:B0:6C:9A:3C
2022-03-25 20:37:41,200 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 607452C2-8441-D076-814E-841EB3635426
2022-03-25 20:48:59,232 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-25 20:49:02,021 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:B0:6C:9A:3C
2022-03-25 20:51:45,527 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 607452C2-8441-D076-814E-841EB3635426
2022-03-25 21:04:47,458 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-25 21:04:50,185 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:B0:6C:9A:3C
2022-03-25 21:07:12,222 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 607452C2-8441-D076-814E-841EB3635426
2022-03-25 21:07:33,046 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-25 21:07:35,908 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:B0:6C:9A:3C
2022-03-25 22:01:37,749 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-03-25 22:01:37,760 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2022-03-25 22:01:37,762 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
